Name,Organization,Category,Address,Phone,Email,Notes,Priority
UD Athletics Department,University of Delaware,University - Athletics,"631 S College Ave, Newark DE 19716",(302) 831-2257,athletics-tix@udel.edu,General athletics contact; ask for team nutrition/event coordinator. NBA-compliant smoothies angle.,HIGH
UD Campus Recreation,University of Delaware,University - Recreation,"Main St & N College Ave, Newark DE 19716",(302) 831-8600,recreation@udel.edu,Campus rec center — events and wellness programming. Great for health fairs and event catering.,HIGH
UD College of Arts & Sciences,University of Delaware,University - Academic Dept,"4 Kent Way, Newark DE 19716",(302) 831-2793,as-advise@udel.edu,Large faculty/staff office; can reference for department meetings and events. Use as template for other UD dept outreach.,MEDIUM
AstraZeneca Newark,AstraZeneca,Corporate - Pharma,"587 Old Baltimore Pike, Newark DE 19702",N/A (corporate switchboard: 1-800-236-9933),N/A (no direct office mgr email public),Health-conscious pharma culture. Approach via LinkedIn to find Office Manager or Executive Assistant. Key account target.,HIGH
Hardbat Athletics (CrossFit),Hardbat Athletics,Gym - CrossFit,"1325 Old Cooch's Bridge Rd Ste 201, Newark DE 19713",(302) 496-4731,info@hardbatcrossfit.com,CrossFit/strength training gym. Great for post-WOD smoothie packages or member events.,HIGH
Empowered Yoga - Newark,Empowered Yoga,Gym - Yoga,"230 W Main St, Newark DE 19711",(302) 738-9642,N/A (contact via website: empoweredyoga.com),Yoga studio on Main St. Good for post-class smoothie partnerships or wellness event catering.,MEDIUM
Anytime Fitness - S Main,Anytime Fitness,Gym - Fitness,"247 S Main St, Newark DE 19711",(302) 533-7773,N/A (contact via anytimefitness.com or walk in),24hr gym near UD. Approach owner directly about member events or partnerships.,MEDIUM
Anytime Fitness - Louviers,Anytime Fitness,Gym - Fitness,"201 Louviers Dr, Newark DE 19711",(302) 533-6040,N/A (contact via anytimefitness.com or walk in),Second Newark location. Good secondary target after S Main.,LOW
Phoenix Physical Therapy,Phoenix Physical Therapy,Healthcare - PT,"210 Louviers Dr, Newark DE 19711",(302) 533-5313,newark@phx-pt.com,PT clinic — staff appreciation events and healthy catering alternative to pizza. Email available.,MEDIUM
Total Health & Rehab PT,Total Health & Rehab,Healthcare - PT,"2707 Kirkwood Hwy, Newark DE 19711",(302) 999-9202,N/A (contact via thrpt.com),Physical therapy clinic; healthy catering angle for staff events.,LOW
NovaCare - Newark,NovaCare,Healthcare - PT,"425 New London Rd, Newark DE 19711",N/A,N/A (contact via novacare.com),Large PT chain location. Staff lunches and wellness events.,LOW
